date,nhs_name,sgtf,other,perc,t,n
2020-10-20,South East,65,842,0.07166482910694598,20,907
2020-10-20,South West,7,129,0.051470588235294115,20,136
2020-10-21,East of England,19,507,0.03612167300380228,21,526
2020-10-21,London,102,1745,0.055224688684353006,21,1847
2020-10-21,Midlands,39,2266,0.016919739696312365,21,2305
2020-10-21,North East and Yorkshire,69,3866,0.017534942820838628,21,3935
2020-10-21,North West,56,4201,0.013154803852478272,21,4257
2020-10-21,South East,85,847,0.09120171673819742,21,932
2020-10-21,South West,15,194,0.07177033492822966,21,209
2020-10-22,East of England,15,501,0.029069767441860465,22,516
2020-10-22,London,88,1678,0.04983012457531144,22,1766
2020-10-22,Midlands,27,2190,0.012178619756427604,22,2217
2020-10-22,North East and Yorkshire,66,3499,0.018513323983169707,22,3565
2020-10-22,North West,47,3670,0.012644605864944848,22,3717
2020-10-22,South East,62,807,0.0713463751438435,22,869
2020-10-22,South West,18,403,0.04275534441805225,22,421
2020-10-23,East of England,19,449,0.0405982905982906,23,468
2020-10-23,London,73,1402,0.04949152542372881,23,1475
2020-10-23,Midlands,27,1706,0.015579919215233698,23,1733
2020-10-23,North East and Yorkshire,59,2580,0.02235695339143615,23,2639
2020-10-23,North West,51,3287,0.015278609946075494,23,3338
2020-10-23,South East,61,738,0.07634543178973717,23,799
2020-10-23,South West,6,187,0.031088082901554404,23,193
2020-10-24,East of England,8,194,0.039603960396039604,24,202
2020-10-24,London,34,580,0.05537459283387622,24,614
2020-10-24,Midlands,27,1487,0.0178335535006605,24,1514
2020-10-24,North East and Yorkshire,47,2491,0.018518518518518517,24,2538
2020-10-24,North West,40,2660,0.014814814814814815,24,2700
2020-10-24,South East,22,332,0.062146892655367235,24,354
2020-10-24,South West,11,262,0.040293040293040296,24,273
2020-10-25,East of England,4,43,0.0851063829787234,25,47
2020-10-25,London,10,108,0.0847457627118644,25,118
2020-10-25,Midlands,23,1495,0.015151515151515152,25,1518
